time_utc,time_excel,latitude_decimal,longitude_decimal,elevation_meters
2025-05-10T12:27:29Z,45787.51908564815,37.54054,-88.97417,178.99801599999813
2025-05-10T12:28:02Z,45787.519467592596,37.54049,-88.97418,182.23398400010078
2025-05-10T12:28:22Z,45787.51969907407,37.54051,-88.97417,180.94590400015403
2025-05-10T12:28:31Z,45787.51980324074,37.54053,-88.97418,179.6212480001975
2025-05-10T12:28:36Z,45787.51986111111,37.54056,-88.97417,177.79638400002872
2025-05-10T12:28:49Z,45787.52001157407,37.54058,-88.97418,176.90444800005068
2025-05-10T12:28:53Z,45787.52005787037,37.54062,-88.97415,174.9534400000404
2025-05-10T12:28:58Z,45787.52011574074,37.54066,-88.97415,173.2859199998259
2025-05-10T12:29:04Z,45787.52018518518,37.54069,-88.97415,172.03528000003624
2025-05-10T12:29:09Z,45787.52024305556,37.54074,-88.97415,169.9508799999919
2025-05-10T12:29:13Z,45787.52028935185,37.54079,-88.97415,167.86647999994756
2025-05-10T12:29:18Z,45787.52034722222,37.54085,-88.97418,167.39055999992058
2025-05-10T12:29:23Z,45787.52040509259,37.5409,-88.97424,170.96032000008094
2025-05-10T12:29:28Z,45787.520462962966,37.54094,-88.9743,172.91583999995407
2025-05-10T12:29:33Z,45787.520520833335,37.54097,-88.9743,174.72592000010053
2025-05-10T12:29:38Z,45787.520578703705,37.54101,-88.97434,176.09276800005222
2025-05-10T12:29:42Z,45787.52063,37.54106,-88.97439,177.04316800008684
2025-05-10T12:29:47Z,45787.520682870374,37.54109,-88.97444,176.41619199983663
2025-05-10T12:29:52Z,45787.52074074074,37.54107,-88.97447,174.6066240000484
2025-05-10T12:30:00Z,45787.520833333336,37.54097,-88.97444,172.00633600002996
2025-05-10T12:30:41Z,45787.52130787037,37.54125,-88.97515,165.69000000000162
2025-05-10T12:30:46Z,45787.521365740744,37.5413,-88.9752,165.3119999999924
2025-05-10T12:30:50Z,45787.52141203704,37.54132,-88.97525,164.7719999999799
2025-05-10T12:30:55Z,45787.521469907406,37.54135,-88.97531,164.18024000001105
2025-05-10T12:31:00Z,45787.521527777775,37.54137,-88.97535,163.89367999997543
2025-05-10T12:31:04Z,45787.521574074075,37.54137,-88.97537,163.82657600000167
2025-05-10T12:31:09Z,45787.521631944444,37.5414,-88.97539,163.7075200000125
2025-05-10T12:31:14Z,45787.521689814814,37.54144,-88.9754,164.0531200000509
2025-05-10T12:31:18Z,45787.52173611111,37.54149,-88.97542,164.38489600003012
2025-05-10T12:31:23Z,45787.52179398148,37.54153,-88.97547,164.28539199999835
2025-05-10T12:31:28Z,45787.52185185185,37.54156,-88.9755,164.1856000000163
2025-05-10T12:31:33Z,45787.52190972222,37.5416,-88.97553,164.0617599999381
2025-05-10T12:31:38Z,45787.52196759259,37.54163,-88.97557,163.96409600002923
2025-05-10T12:31:42Z,45787.52201388889,37.54165,-88.97561,164.1046400000278
2025-05-10T12:31:47Z,45787.52207175926,37.54171,-88.97567,164.21091200002303
2025-05-10T12:31:52Z,45787.52212962963,37.54175,-88.97574,164.10319999999263
2025-05-10T12:31:56Z,45787.52217592593,37.54177,-88.97578,163.91369599999862
2025-05-10T12:32:01Z,45787.52223,37.54182,-88.9758,163.71295999994462
2025-05-10T12:32:06Z,45787.52229166667,37.54186,-88.97579,163.73830399996532
2025-05-10T12:32:11Z,45787.52234953704,37.5419,-88.97579,163.68415999996014
2025-05-10T12:32:16Z,45787.52240740741,37.54192,-88.97582,163.2631040000229
2025-05-10T12:32:21Z,45787.522465277776,37.54195,-88.97587,163.16144000000116
2025-05-10T12:32:26Z,45787.522523148145,37.54199,-88.97592,163.43532799999835
2025-05-10T12:32:30Z,45787.522569444445,37.54202,-88.97597,163.5007039999989
2025-05-10T12:32:35Z,45787.522627314815,37.54205,-88.976,163.44799999999702
2025-05-10T12:32:40Z,45787.522685185184,37.54207,-88.97602,163.36102399997807
2025-05-10T12:32:44Z,45787.522731481484,37.5421,-88.97605,163.15280000000536
2025-05-10T12:32:49Z,45787.52278935185,37.54211,-88.97609,162.91318399999764
2025-05-10T12:32:54Z,45787.52284722222,37.54214,-88.97614,162.74591999997395
2025-05-10T12:32:59Z,45787.52290509259,37.54216,-88.97618,162.7257599999671
2025-05-10T12:33:03Z,45787.52295138889,37.54217,-88.97623,162.77832000002277
2025-05-10T12:33:08Z,45787.52300925926,37.54217,-88.97629,162.98136000004416
2025-05-10T12:33:13Z,45787.52306712963,37.54216,-88.97634,163.37087999991562
2025-05-10T12:33:18Z,45787.52313,37.54217,-88.97636,163.21824000002903
2025-05-10T12:33:23Z,45787.52318287037,37.54218,-88.97641,163.15155199995758
2025-05-10T12:33:27Z,45787.52322916667,37.5422,-88.9765,162.99199999997492
2025-05-10T12:33:32Z,45787.52328703704,37.54221,-88.97658,163.02627200007183
2025-05-10T12:33:37Z,45787.52334490741,37.54223,-88.97664,162.88406400000176
2025-05-10T12:33:42Z,45787.52340277778,37.54224,-88.97671,162.92601600000242
2025-05-10T12:33:47Z,45787.523460648146,37.54226,-88.9768,162.79872000000748
2025-05-10T12:33:51Z,45787.523506944446,37.54229,-88.97687,162.57739199998727
2025-05-10T12:33:56Z,45787.523564814815,37.5423,-88.97694,162.44448000001998
2025-05-10T12:34:01Z,45787.523622685185,37.5423,-88.97701,162.54384000003483
2025-05-10T12:34:06Z,45787.523680555554,37.54233,-88.97704,162.30105600000456
2025-05-10T12:34:11Z,45787.52373842592,37.54234,-88.97712,162.24806399996555
2025-05-10T12:34:17Z,45787.52380787037,37.54235,-88.9772,162.15360000001277
2025-05-10T12:34:22Z,45787.52386574074,37.54237,-88.9773,162.13408000002704
2025-05-10T12:34:26Z,45787.52391203704,37.54238,-88.97739,162.2498559999721
2025-05-10T12:34:31Z,45787.52396990741,37.54242,-88.97743,161.58284799999893
2025-05-10T12:34:36Z,45787.52402777778,37.54247,-88.97747,160.62467199996428
2025-05-10T12:34:41Z,45787.52408564815,37.5425,-88.97748,160.00000000006656
2025-05-10T12:35:14Z,45787.52446759259,37.54258,-88.97827,159.7776640000027
2025-05-10T12:35:30Z,45787.52465277778,37.5426,-88.97837,159.72447999999517
2025-05-10T12:35:35Z,45787.52471064815,37.5426,-88.97847,159.9548800000026
2025-05-10T12:35:39Z,45787.52475694445,37.5426,-88.97863,160.2555200000047
2025-05-10T12:35:44Z,45787.52481481482,37.54263,-88.97866,159.98163199997117
2025-05-10T12:35:49Z,45787.524872685186,37.54264,-88.97871,159.8125759999989
2025-05-10T12:35:53Z,45787.52491898148,37.54271,-88.97875,159.10999999998984
2025-05-10T12:35:58Z,45787.524976851855,37.54272,-88.97878,158.9344639999729
2025-05-10T12:36:03Z,45787.525034722225,37.54272,-88.97881,158.8489279999852
2025-05-10T12:36:07Z,45787.52508101852,37.54272,-88.97887,158.67785599996927
2025-05-10T12:36:12Z,45787.52513888889,37.54272,-88.97895,158.7155199999622
2025-05-10T12:36:17Z,45787.525196759256,37.54273,-88.97902,158.6783680000231
2025-05-10T12:36:21Z,45787.525243055556,37.54275,-88.97908,158.4376000000277
2025-05-10T12:36:26Z,45787.525300925925,37.54272,-88.97913,158.98508799994977
2025-05-10T12:36:31Z,45787.525358796294,37.54273,-88.9792,158.92192000003294
2025-05-10T12:36:36Z,45787.525416666664,37.54273,-88.97925,159.01480000001183
2025-05-10T12:36:40Z,45787.52546296296,37.54273,-88.97931,159.1262560000235
2025-05-10T12:36:45Z,45787.52552083333,37.54273,-88.97938,159.25628800004148
2025-05-10T12:36:49Z,45787.52556712963,37.54271,-88.97941,159.8612320000153
2025-05-10T12:37:02Z,45787.525717592594,37.54269,-88.97941,160.4104479999965
2025-05-10T12:38:21Z,45787.52663194444,37.54322,-88.98026,158.63622399998914
