time_centralUSA,latitude_decimal,longitude_decimal,elevation_meters
5/10/2025 6:17,37.54095,-88.97642,197.20592000004086
5/10/2025 6:17,37.54082,-88.97642,198.50662400006644
5/10/2025 6:18,37.54079,-88.97649,199.60721599997638
5/10/2025 6:18,37.5408,-88.97651,200.00768000006752
5/10/2025 6:19,37.54198,-88.9768,169.55743999994598
5/10/2025 6:19,37.54195,-88.9768,170.36960000001164
5/10/2025 6:19,37.5419,-88.97682,174.07296000013426
5/10/2025 6:19,37.54195,-88.97676,170.51072000000633
5/10/2025 6:19,37.54205,-88.97674,167.7963199998947
5/10/2025 6:19,37.542,-88.9769,168.7279999999574
5/10/2025 6:19,37.54205,-88.97689,167.46151999992165
5/10/2025 6:19,37.54203,-88.97694,167.85507200008064
5/10/2025 6:19,37.54216,-88.97719,165.4519999999095
5/10/2025 6:20,37.54223,-88.97733,164.64227199990358
5/10/2025 6:20,37.54145,-88.97703,196.58024000002692
5/10/2025 6:20,37.54105,-88.97683,201.91064000014032
5/10/2025 6:21,37.54133,-88.97706,198.5998079999424
5/10/2025 6:21,37.54185,-88.97727,178.30744000024066
5/10/2025 6:21,37.54244,-88.97761,161.03939200001824
5/10/2025 6:21,37.54247,-88.97759,160.54302399996368
5/10/2025 6:22,37.54196,-88.97726,170.10969599991597
5/10/2025 6:23,37.54143,-88.97676,195.7937280000176
5/10/2025 6:25,37.54323,-88.97664,173.93769600011984
5/10/2025 6:25,37.54183,-88.97671,179.6888160001984
5/10/2025 6:25,37.54344,-88.97633,175.9645119999208
5/10/2025 6:26,37.54256,-88.97651,163.8312959999724
5/10/2025 6:26,37.54203,-88.97664,168.37356800010812
5/10/2025 6:26,37.54336,-88.97628,173.8180479999781
5/10/2025 6:27,37.5434,-88.97617,174.9236799999906
5/10/2025 6:27,37.54342,-88.97629,175.2782079999472
5/10/2025 6:28,37.54338,-88.97617,174.75577600000807
5/10/2025 6:28,37.54341,-88.9762,175.01152000001937
5/10/2025 6:29,37.54344,-88.97618,175.3035519999663
5/10/2025 6:30,37.54362,-88.97638,182.9710720000982
5/10/2025 6:30,37.54352,-88.97637,179.0933440000779
5/10/2025 6:30,37.54342,-88.97616,175.07603199997223
5/10/2025 6:31,37.54337,-88.97633,173.78017600007084
5/10/2025 6:31,37.54335,-88.97639,172.69127999972827
5/10/2025 6:31,37.54323,-88.97648,171.0438719999528
5/10/2025 6:32,37.54346,-88.9762,175.64512000008207
5/10/2025 6:32,37.5435,-88.97626,176.92959999998706
5/10/2025 6:32,37.54348,-88.97623,176.2018240000513
5/10/2025 6:32,37.54352,-88.97627,177.5122240000127
5/10/2025 6:33,37.54359,-88.97608,175.1800960000171
5/10/2025 6:33,37.54356,-88.97606,175.45484799996837
5/10/2025 6:33,37.54372,-88.9759,176.9987199999667
5/10/2025 6:34,37.54373,-88.97612,179.49491199974315
5/10/2025 6:34,37.54388,-88.97598,181.03993600022355
5/10/2025 6:34,37.54386,-88.97595,179.8628799999725
5/10/2025 6:34,37.54385,-88.976,180.90399999995546
5/10/2025 6:35,37.54377,-88.97593,178.0155040001096
5/10/2025 6:35,37.5438,-88.97597,179.1990400000194
5/10/2025 6:35,37.54371,-88.97597,177.44036799997687
5/10/2025 6:36,37.54379,-88.97594,178.48566399992214
5/10/2025 6:37,37.54372,-88.97588,176.8167040000372
5/10/2025 6:37,37.54372,-88.97593,177.27174400005498
5/10/2025 6:37,37.54382,-88.97595,179.17455999988883
5/10/2025 6:37,37.54374,-88.97593,177.56924800005558
5/10/2025 6:38,37.54371,-88.97586,176.56758399996022
5/10/2025 6:38,37.54365,-88.97587,176.17431999999667
5/10/2025 6:38,37.54365,-88.97578,177.2958399999938
5/10/2025 6:39,37.54382,-88.97593,178.75926400005991
5/10/2025 6:39,37.54373,-88.97593,177.4204960000022
5/10/2025 6:40,37.54385,-88.97601,181.14664000003134
5/10/2025 6:40,37.54383,-88.97589,178.0307680001474
5/10/2025 6:40,37.54372,-88.97569,178.58809599999313
5/10/2025 6:41,37.54377,-88.97583,176.6079519999855
5/10/2025 6:41,37.54371,-88.97583,176.410096
5/10/2025 6:41,37.54376,-88.9759,177.45375999992902
5/10/2025 6:41,37.54376,-88.97583,176.57497599997322
5/10/2025 6:41,37.54388,-88.97602,182.15046400018838
5/10/2025 6:41,37.54386,-88.97597,180.37148800013907
5/10/2025 6:42,37.54378,-88.97596,178.64723199997582
5/10/2025 6:42,37.54361,-88.97571,179.13644799980943
5/10/2025 6:43,37.54367,-88.97574,178.06537599996986
5/10/2025 6:43,37.54377,-88.97584,176.67155200008585
5/10/2025 6:43,37.54375,-88.97599,178.4740000000107
5/10/2025 6:44,37.54366,-88.97599,176.5053760000504
5/10/2025 6:44,37.54362,-88.97598,175.6560639999229
5/10/2025 6:44,37.54351,-88.97599,176.70563200008618
5/10/2025 6:45,37.5435,-88.97605,175.9239999999784
5/10/2025 6:45,37.5436,-88.97617,176.60271999987884
5/10/2025 6:46,37.54359,-88.97609,175.12220800000057
5/10/2025 6:46,37.54356,-88.97606,175.45484799996837
5/10/2025 6:46,37.54359,-88.9761,175.06432
5/10/2025 6:46,37.54367,-88.9763,182.1275199998269
5/10/2025 6:46,37.54357,-88.97622,177.4978239999907
5/10/2025 6:47,37.5434,-88.97616,174.93663999999717
5/10/2025 6:48,37.54343,-88.97616,175.14572799998444
5/10/2025 6:48,37.54353,-88.97627,177.7387359999237
5/10/2025 6:48,37.54348,-88.97625,176.40399999997868
5/10/2025 6:49,37.54339,-88.97624,174.64921600003007
5/10/2025 6:49,37.54334,-88.97625,173.63200000007907
5/10/2025 6:49,37.54336,-88.97627,173.88803200000046
5/10/2025 6:50,37.54333,-88.97634,172.46723200002836
5/10/2025 6:50,37.54324,-88.97627,172.51388799998895
5/10/2025 6:50,37.54309,-88.97651,166.3005119999954
5/10/2025 6:51,37.54318,-88.97627,172.018816
5/10/2025 6:51,37.54299,-88.97614,176.37344000001946
5/10/2025 6:52,37.54319,-88.97635,169.60264000016357
5/10/2025 6:54,37.54266,-88.97633,167.7279999998998
5/10/2025 6:54,37.54269,-88.97631,168.55600000003415
5/10/2025 6:54,37.54272,-88.97633,168.8079999999868
5/10/2025 6:54,37.54274,-88.97634,169.02400000013267
5/10/2025 6:54,37.54276,-88.97633,169.52799999995955
5/10/2025 6:54,37.54282,-88.97632,169.76095999998188
5/10/2025 6:54,37.54284,-88.97629,170.32543999987084
5/10/2025 6:55,37.54285,-88.97654,165.54463999999692
5/10/2025 6:55,37.54295,-88.97641,166.34672000002007
5/10/2025 6:55,37.54293,-88.97639,166.79715200007246
5/10/2025 6:55,37.54293,-88.97637,167.45263999992247
5/10/2025 6:55,37.5429,-88.97638,167.50879999977755
5/10/2025 6:55,37.54292,-88.97638,167.24383999977158
5/10/2025 6:55,37.54292,-88.97632,169.21375999994834
5/10/2025 6:56,37.54289,-88.97626,171.11456000010526
5/10/2025 6:56,37.54286,-88.9762,172.54879999983046
5/10/2025 6:56,37.54283,-88.97606,176.64585599984358
5/10/2025 6:56,37.54221,-88.9761,162.20095999999407
5/10/2025 6:57,37.54276,-88.97609,173.77136000006524
5/10/2025 6:58,37.54275,-88.97605,175.57999999991208
5/10/2025 6:58,37.54277,-88.97613,172.58799999998382
5/10/2025 6:59,37.54153,-88.97558,164.11414399984182
5/10/2025 6:59,37.54251,-88.97605,169.35919999998595
5/10/2025 6:59,37.54138,-88.97567,168.956288
5/10/2025 7:00,37.54164,-88.97553,164.24550399992145
5/10/2025 7:00,37.54252,-88.97603,170.03024000020625
5/10/2025 7:00,37.5413,-88.97556,164.2198400000932
5/10/2025 7:01,37.54239,-88.97593,168.36761599985368
5/10/2025 7:01,37.54251,-88.97601,170.1310399999568
5/10/2025 7:01,37.54116,-88.97494,166.0222079999243
5/10/2025 7:01,37.54115,-88.9749,166.07520000001554
5/10/2025 7:02,37.54112,-88.97484,165.3356159999772
5/10/2025 7:02,37.54111,-88.9748,165.01599999995233
5/10/2025 7:02,37.54087,-88.97444,168.33145599992994
5/10/2025 7:02,37.54094,-88.97452,169.92172800000134
5/10/2025 7:02,37.54088,-88.97446,168.6602880000534
5/10/2025 7:03,37.54068,-88.97446,172.7556479998323
5/10/2025 7:03,37.54072,-88.97447,171.4141439999453
5/10/2025 7:03,37.54104,-88.97429,179.26163200026602
5/10/2025 7:04,37.54068,-88.97446,172.7556479998323
5/10/2025 7:04,37.54088,-88.97441,168.8268160000313
5/10/2025 7:04,37.54078,-88.97456,170.07148800005004
5/10/2025 7:05,37.54075,-88.97439,169.9215999998974
5/10/2025 7:05,37.54075,-88.97435,169.86399999989678
5/10/2025 7:05,37.54091,-88.97449,169.45430399988777
5/10/2025 7:06,37.54075,-88.97413,169.45479999990064
5/10/2025 7:06,37.54077,-88.97403,168.4427679999363
5/10/2025 7:06,37.5408,-88.97403,167.5187200000852
5/10/2025 7:07,37.54078,-88.974,168.09760000005969
5/10/2025 7:07,37.54076,-88.97392,168.4149760000451
5/10/2025 7:07,37.54074,-88.97389,168.6854079999947
5/10/2025 7:07,37.54076,-88.97391,168.38444800003433
5/10/2025 7:08,37.5407,-88.97398,170.17407999994987
5/10/2025 7:08,37.54067,-88.97391,170.17681600006668
5/10/2025 7:09,37.54067,-88.97399,171.07422400004225
5/10/2025 7:10,37.54068,-88.97401,171.00870400001756
5/10/2025 7:10,37.5407,-88.97402,170.51391999993314
5/10/2025 7:10,37.54076,-88.97399,168.6286720000336
5/10/2025 7:10,37.54071,-88.97408,170.67030400010776
5/10/2025 7:11,37.54065,-88.97396,171.22672000008308
5/10/2025 7:11,37.54066,-88.97392,170.49721600002843
5/10/2025 7:11,37.54067,-88.97404,171.63510400006686
5/10/2025 7:11,37.54069,-88.97397,170.34270399999912
5/10/2025 7:12,37.5407,-88.97414,171.53344000000362
